competitorId,competitorName,firstName,lastName,status,postCompStatus,gender,profilePicS3key,countryOfOriginCode,countryOfOriginName,countryShortCode,regionId,regionName,divisionId,affiliateId,affiliateName,age,height,weight,teamCaptain,overallRank,overallScore
932990,Taylor Self,Taylor,Self,WD,,M,72ea0-P932990_2-184.jpg,US,United States,,31,North America,1,931,CrossFit Charlotte,26,70 in,195 lb,0,30,0
671666,Haley Adams,Haley,Adams,ACT,,F,3eaab-P671666_9-184.jpg,US,United States,,31,North America,2,3220,CrossFit Mayhem,21,67 in,140 lb,0,1,502
503582,Alexis Raptis,Alexis,Raptis,ACT,,F,0b620-P503582_3-184.jpg,US,United States,,31,North America,2,25335,TTT CrossFit,23,65 in,155 lb,0,2,496
531598,Paige Semenza,Paige,Semenza,ACT,,F,e32e0-P531598_13-184.jpg,US,United States,,31,North America,2,4938,CrossFit Vertex,30,63 in,143 lb,0,3,484
310687,Kristi Eramo O'Connell,Kristi Eramo,O'Connell,ACT,,F,f3a4c-P310687_4-184.jpg,US,United States,,31,North America,2,16832,CrossFit Polaris,33,62 in,132 lb,0,4,476
656004,Christine Kolenbrander,Christine,Kolenbrander,ACT,,F,18f1b-P656004_8-184.jpg,US,United States,,31,North America,2,29609,CrossFit 417,30,66 in,157 lb,0,5,469
132258,Arielle Loewen,Arielle,Loewen,ACT,,F,61499-P132258_6-184.jpg,US,United States,,31,North America,2,None,,28,63 in,145 lb,0,6,431
920973,Gabby McClelland,Gabby,McClelland,ACT,,F,edfad-P920973_1-184.jpg,US,United States,,31,North America,2,11612,CrossFit Decimate,24,68 in,175 lb,0,7,429
280780,Kristine Best,Kristine,Best,ACT,,F,35f38-P280780_7-184.jpg,US,United States,,31,North America,2,6348,CrossFit Undivided,32,63 in,138 lb,0,8,400
615284,Meredith Swindle,Meredith,Swindle,ACT,,F,38f94-P615284_2-184.jpg,US,United States,,31,North America,2,5697,Coyote CrossFit,30,68 in,155 lb,0,9,380
1306393,Olivia Sulek,Olivia,Sulek,ACT,,F,dece4-P1306393_3-184.jpg,US,United States,,31,North America,2,1257,CrossFit Cornerstone,18,65 in,,0,10,376
1344968,Katie Calyore,Katie,Calyore,ACT,,F,22d2f-P1344968_2-184.jpg,US,United States,,31,North America,2,22543,Golden Goose CrossFit,29,66 in,138 lb,0,11,367
448384,Sequoia Barrera,Sequoia,Barrera,ACT,,F,29254-P448384_6-184.jpg,US,United States,,31,North America,2,5005,CrossFit Yucca Valley,22,69 in,160 lb,0,12,334
511014,Tayler Sykes,Tayler,Sykes,ACT,,F,de2eb-P511014_4-184.jpg,US,United States,,31,North America,2,21359,CrossFit 970,27,68 in,163 lb,0,13,297
1151619,Emily White,Emily,White,ACT,,F,16d61-P1151619_2-184.jpg,US,United States,,31,North America,2,6057,The Pack CrossFit,28,69 in,170 lb,0,14,292
